Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
170,Benin,27989.0,163.0,29.0,3.0,604310.0,799.0
171,Somalia,27318.0,155.0,29.0,12775.0,400466.0,799.0
172,Congo,25375.0,386.0,29.0,983.0,347815.0,799.0
173,Solomon Islands,24575.0,153.0,29.0,,,799.0
174,San Marino,23427.0,122.0,29.0,29.0,157634.0,799.0
175,Timor-Leste,23415.0,138.0,29.0,175.0,278529.0,799.0
176,Micronesia,22676.0,58.0,29.0,,54967.0,799.0
177,Burkina Faso,22025.0,396.0,29.0,33.0,248995.0,799.0
178,Liechtenstein,21340.0,89.0,29.0,14.0,112457.0,799.0
179,Gibraltar,20399.0,111.0,29.0,3709.0,534283.0,799.0
180,Grenada,19680.0,238.0,29.0,84.0,182981.0,799.0
181,Bermuda,18766.0,157.0,29.0,16.0,1024947.0,799.0
182,Nicaragua,18491.0,225.0,29.0,14041.0,,799.0
183,South Sudan,18368.0,138.0,29.0,115.0,410280.0,799.0
184,Tajikistan,17786.0,125.0,29.0,397.0,,799.0
185,Equatorial Guinea,17190.0,183.0,29.0,124.0,365697.0,799.0
186,Tonga,16734.0,13.0,29.0,1083.0,535009.0,799.0
187,Samoa,16087.0,29.0,29.0,14453.0,187397.0,799.0
188,Monaco,16056.0,65.0,29.0,9.0,78646.0,799.0
189,Dominica,15760.0,74.0,29.0,13.0,229344.0,799.0
190,Djibouti,15690.0,189.0,29.0,74.0,305941.0,799.0
191,Marshall Islands,15584.0,17.0,29.0,39.0,,799.0
192,CAR,15368.0,113.0,29.0,55.0,81294.0,799.0
193,Gambia,12586.0,372.0,29.0,25.0,155686.0,799.0
194,Saint Martin,12233.0,63.0,29.0,10771.0,112382.0,799.0
195,Vanuatu,12014.0,14.0,29.0,24.0,24976.0,799.0
196,Greenland,11971.0,21.0,29.0,9189.0,164926.0,799.0
197,Yemen,11945.0,155.0,29.0,662.0,329592.0,799.0
198,Caribbean Netherlands,11661.0,38.0,29.0,1147.0,30126.0,799.0
199,Sint Maarten,11010.0,89.0,29.0,16.0,62056.0,799.0
200,Eritrea,10189.0,103.0,29.0,0.0,23693.0,799.0
201,Niger,9931.0,312.0,29.0,729.0,254538.0,799.0
